Neighbourhood;City;Zipcode;Country;Latitude;Longitude;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Amenities;Square Feet;Price;Weekly Price;Monthly Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Has Availability;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Calculated host listings count;Reviews per Month;Geolocation
;Madrid;28004;Spain;40.42183363066873;-3.704515688775255;House;Entire home/apt;4;1.0;2.0;3.0;Real Bed;TV,Kitchen,Smoking allowed,Doorman,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron;;70.0;350.0;;;30.0;1;0;3;1125;;5;16;33;83;37;86.0;9.0;8.0;9.0;10.0;10.0;9.0;moderate;1.0;2.27;40.4218336307,-3.70451568878
Malasaña;Madrid;28013;Spain;40.42201891597724;-3.7058773501181377;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Pool,Kitchen,Doorman,Gym,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Dryer,First aid kit,Safety card,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;150.0;;;;77.0;2;17;3;1125;;8;24;37;202;0;;;;;;;;strict;77.0;;40.422018916,-3.70587735012
Puente de Vallecas;Madrid;28053;Spain;40.38559812947873;-3.66842046847118;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Iron;;30.0;;;;;1;0;2;1125;;0;0;7;282;6;80.0;8.0;8.0;8.0;8.0;7.0;8.0;moderate;1.0;0.58;40.3855981295,-3.66842046847
;Madrid;28013;Spain;40.41253669818255;-3.72780032877641;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo;;30.0;190.0;800.0;;;1;0;1;1125;;0;0;0;0;1;100.0;10.0;8.0;10.0;10.0;10.0;10.0;moderate;1.0;0.05;40.4125366982,-3.72780032878
;Madrid;28013;Spain;40.422302048294874;-3.710323117355409;House;Private room;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Smoking allowed,Pets live on this property,Cat(s),Buzzer/wireless intercom,Family/kid friendly,Washer,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_50;;28.0;175.0;;90.0;;1;20;3;1125;;0;0;0;0;19;87.0;10.0;8.0;10.0;10.0;10.0;9.0;moderate;1.0;0.77;40.4223020483,-3.71032311736
Aluche;Madrid;28011;Spain;40.41346418740279;-3.727917741257151;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Breakfast,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace;;35.0;;;;;1;0;1;10;;30;60;90;365;24;89.0;10.0;9.0;10.0;10.0;9.0;9.0;flexible;1.0;1.87;40.4134641874,-3.72791774126
La Latina;Madrid;28005;Spain;40.41101614187871;-3.709288898589216;Apartment;Entire home/apt;6;1.0;2.0;4.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;;89.0;;;90.0;15.0;2;15;1;1125;;8;16;26;282;130;97.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;8.0;3.76;40.4110161419,-3.70928889859
Hortaleza;Madrid;28033;Spain;40.472206090372666;-3.6381977296730033;Bed & Breakfast;Private room;2;1.0;1.0;1.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Breakfast,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,First aid kit,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hair dryer,translation missing: en.hosting_amenity_50;;23.0;109.0;399.0;;5.0;1;12;1;100;;0;0;6;281;88;93.0;10.0;9.0;9.0;10.0;9.0;9.0;flexible;1.0;2.78;40.4722060904,-3.63819772967
Almagro;Madrid;28010;Spain;40.42854824462397;-3.696084536838564;Apartment;Entire home/apt;4;2.0;2.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Bathtub,Crib;;95.0;;3500.0;200.0;45.0;2;20;3;1125;;11;26;51;326;52;92.0;9.0;10.0;9.0;9.0;10.0;9.0;strict;1.0;2.76;40.4285482446,-3.69608453684
;Madrid;28005;Spain;40.41254052028802;-3.711489789800309;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;90.0;;;;;1;0;1;1125;;18;48;76;351;63;97.0;10.0;9.0;10.0;10.0;10.0;10.0;strict;2.0;2.44;40.4125405203,-3.7114897898
